Rank,Feature,Importance Score
1,num__cholst pain,0.21724989117607904
2,num__OLDPeak,0.16360287031522183
3,num__Thalach,0.15886154834000574
4,num__EXAng,0.09457282410364858
5,num__age,0.08021096549599793
6,num__RestBP,0.07301441078928059
7,num__SLOPE,0.06937082317551338
8,num__CholL,0.06908051047912468
9,num__sex,0.05491043760948802
10,num__RESTECG,0.013938272825413496
11,num__FastBS,0.005187445690226744
