Rank,Feature,Permutation Importance
1,num__cholst pain,0.08745874587458742
2,num__Thalach,0.061056105610561004
3,num__OLDPeak,0.059075907590759036
4,num__sex,0.03828382838283824
5,num__EXAng,0.028382838283828336
6,num__age,0.02310231023102306
7,num__RestBP,0.022112211221122058
8,num__CholL,0.018481848184818427
9,num__SLOPE,0.01584158415841579
10,num__FastBS,0.0
11,num__RESTECG,-3.3306690738754695e-17
